run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
4036,8571342,25070116,10792383,22851401
4037,8571619,25070068,10740089,22903335
4038,8571494,25070030,10766838,22876812
4039,8571409,25070085,10745304,22898099
4040,8571596,25070145,10711230,22932909
4041,8571198,25070070,10781637,22861192
4042,8571621,25069989,10722393,22921200
4043,8571782,25070047,10758898,22884341
4044,8571500,25069993,10723557,22920289
4045,8571530,25069910,10748113,22895139
4046,8571981,25070094,10787097,22856346
4047,8571624,25070014,10752718,22891094
4048,8571766,25070062,10746583,22896842
4049,8571827,25070065,10785419,22858041
4050,8571302,25069988,10723454,22920723
4051,8571645,25070138,10762883,22880286
4052,8571554,25070192,10743741,22899143
4053,8571511,25070071,10802682,22840539
4054,8571507,25069939,10777633,22865504
4055,8571679,25070095,10822371,22821115
4056,8571819,25070000,10758101,22885436
4057,8571439,25070192,10806172,22837126
4058,8571459,25069998,10804617,22838567
4059,8571426,25070077,10743723,22899805
4060,8571481,25070137,10762005,22881318
4061,8571328,25070041,10748294,22894690
4062,8571631,25069993,10804421,22839248
4063,8571736,25070068,10795803,22846843
4064,8571665,25070091,10761213,22882373
4065,8571381,25070085,10762061,22881453
4066,8571936,25070026,10750730,22892536
4067,8571667,25070021,10721261,22922163
4068,8571469,25069950,10829472,22813806
4069,8571519,25070110,10757586,22885863
4070,8571390,25070029,10741059,22902321
4071,8571431,25070183,10716454,22926776
4072,8571533,25070056,10743149,22900242
4073,8571435,25070113,10783527,22858929
4074,8571572,25070131,10749539,22893613
4075,8571663,25069994,10725460,22917458
4076,8571644,25070043,10749326,22894251
4077,8571513,25070035,10757659,22885518
4078,8571457,25070125,10797588,22845372
4079,8571740,25069967,10739672,22903447
4080,8571319,25069990,10744362,22898669
4081,8571083,25070027,10731038,22912147
4082,8571222,25070192,10768087,22875567
4083,8571558,25070090,10796045,22847785
4084,8571666,25070052,10757394,22885659
4085,8571521,25070141,10739821,22904071
4086,8571311,25070073,10770805,22872834
4087,8571526,25069918,10730856,22912866
4088,8578541,25063302,10799343,22844051
4089,8571606,25070190,10751689,22892228
4090,8571576,25069975,10724213,22918734
4091,8570964,25070113,10749575,22893615
4092,8571612,25070177,10752276,22890558
4093,8571367,25070131,10784529,22859105
4094,8571545,25070079,10745704,22897493
4095,8571812,25070048,10761619,22882259
4096,8571543,25070072,10757885,22885873
4097,8571231,25070005,10733268,22910804
4098,8571491,25070046,10792575,22849952
4099,8571995,25069945,10752174,22891340
4100,8571566,25070089,10764005,22879059
4101,8571643,25070069,10773186,22870052
4102,8571930,25070044,10711539,22931875
4103,8571762,25069989,10812824,22830300
4104,8571636,25069969,10748819,22894599
4105,8571699,25069918,10791869,22851989
4106,8571220,25070101,10752854,22890518
4107,8571247,25070182,10748023,22895713
4108,8571951,25069964,10785806,22857765
4109,8571606,25070013,10757906,22885426
4110,8571567,25070052,10767747,22875635
4111,8571523,25069823,10715300,22928116
4112,8571592,25069893,10748736,22895130
4113,8571739,25070068,10743351,22900178
4114,8571578,25070079,10731463,22911920
4115,8571512,25070086,10780072,22863060
4116,8571508,25070185,10738546,22905114
