run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
1913,8571293,25070209,10004213,23640152
1914,8571727,25069987,9958511,23684860
1915,8571238,25070083,9967321,23676059
1916,8571925,25070357,10004141,23640026
1917,8581492,25060355,9926471,23717590
1918,8571795,25069912,10007459,23635888
1919,8571359,25070165,9988739,23655176
1920,8571422,25070007,10003800,23639661
1921,8571564,25070082,10047046,23596706
1922,8571672,25069917,10000742,23643098
1923,8571499,25070093,9990337,23653362
1924,8571308,25070036,9970225,23672766
1925,8571352,25070077,9983055,23661096
1926,8571627,25070155,10014039,23629034
1927,8585102,25057236,9999334,23644913
1928,8571632,25070090,10047471,23596256
1929,8571642,25070083,9998495,23645433
1930,8577424,25064822,9995434,23648235
1931,8571769,25069885,10019466,23625115
1932,8575071,25066657,9988164,23655925
1933,8571900,25069994,9963314,23679687
1934,8571614,25070012,10008134,23634931
1935,8571287,25070178,9963822,23680085
1936,8571678,25070059,10001448,23641839
1937,8574654,25067586,9962556,23680833
1938,8571552,25069874,9982026,23661273
1939,8571123,25070078,10007527,23636328
1940,8571465,25070072,9941741,23701306
1941,8571626,25070015,10007145,23636377
1942,8571751,25070128,10004115,23639497
1943,8571393,25070049,9944179,23699350
1944,8571951,25070063,10005396,23637728
1945,8571258,25070162,9944676,23699749
1946,8571933,25069868,9998445,23644855
1947,8571963,25069847,10010568,23632879
1948,8571742,25070064,9942674,23701172
1949,8572036,25070186,9989746,23651446
1950,8571626,25070190,10004421,23638697
1951,8571842,25070012,10002618,23640663
1952,8571428,25070058,10001698,23642191
1953,8571792,25069967,10024448,23619236
1954,8571631,25070353,9998835,23644836
1955,8571198,25070001,10010249,23633704
1956,8571419,25070122,9990053,23653368
1957,8571584,25070137,9998103,23645300
1958,8571424,25070277,10000920,23642221
1959,8571543,25070009,10000289,23643478
1960,8571940,25070251,9989212,23654359
1961,8571821,25069982,10007689,23635392
1962,8571462,25070282,9990694,23652078
1963,8571664,25070024,9994692,23648560
1964,8572011,25070531,9999105,23644341
1965,8571423,25070094,9967795,23675564
1966,8571899,25070169,10004876,23638419
1967,8571240,25070287,10000354,23642771
1968,8571758,25070154,9998594,23645131
1969,8571636,25069961,9971995,23671670
1970,8571829,25070019,9989666,23653260
1971,8577816,25063384,10000761,23642399
1972,8571554,25070258,9989839,23653541
1973,8571439,25070009,9993680,23649586
1974,8572520,25070682,10010446,23633445
1975,8571474,25070015,9942812,23700812
1976,8571555,25070128,10036058,23607412
1977,8571580,25069985,10011325,23631984
1978,8571772,25070195,9922782,23721194
1979,8571659,25070030,9960239,23682729
1980,8571841,25069981,9959249,23684381
1981,8571216,25070066,10001680,23642080
1982,8572078,25070460,9969990,23673778
1983,8571309,25070115,10015538,23628393
1984,8572112,25070118,10008937,23634316
1985,8571462,25070044,9992343,23650969
1986,8571629,25070054,10010028,23633951
1987,8571614,25070103,10011417,23631976
1988,8571838,25070252,9946833,23696995
1989,8571605,25070175,9947876,23695631
1990,8571407,25070054,9956751,23687042
1991,8571525,25070071,10001674,23641438
1992,8571233,25070040,10000841,23642603
1993,8571728,25069990,9980673,23662960
1994,8571348,25070091,9998676,23644501
1995,8571505,25069958,9971816,23671685
1996,8571477,25070058,9997817,23645999
1997,8571813,25070034,9944464,23699289
1998,8571631,25069999,9962174,23681415
1999,8571475,25069914,10011553,23632270
2000,8571212,25070066,9992464,23650598
2001,8571694,25070063,9994501,23648716
2002,8571126,25070026,9990205,23653923
2003,8571698,25070085,10020041,23623905
2004,8571417,25070074,9968094,23676192
2005,8571697,25070028,10004880,23638623
2006,8571151,25070099,10004338,23639225
2007,8571170,25069865,9963617,23679229
2008,8571322,25070154,9964120,23679492
2009,8571458,25069894,9969346,23674247
2010,8571826,25070114,9969598,23674080
2011,8571317,25069994,10014903,23628682
2012,8571788,25070151,9999445,23645050
2013,8571192,25069986,10003256,23640709
2014,8571047,25070106,9927148,23716409
2015,8575648,25065708,9944810,23698572
2016,8571655,25070020,10008285,23635896
2017,8571365,25070019,9945152,23698520
2018,8571311,25070040,9902902,23740875
2019,8571625,25070008,9997809,23645895
2020,8577889,25063442,9963071,23680495
2021,8571093,25070138,10004915,23638399
2022,8571561,25069916,9978912,23664841
2023,8571425,25070174,9961123,23682451
2024,8571993,25070036,10002811,23640859
2025,8571881,25070085,9956335,23687692
2026,8571621,25070086,10001040,23642902
2027,8571589,25070249,10011625,23631956
2028,8571582,25070037,10003029,23640516
2029,8572162,25070011,9968886,23674933
2030,8571410,25070096,9975294,23667212
2031,8571521,25070101,10008706,23634410
2032,8571598,25069897,9952670,23690946
2033,8571694,25070019,9981042,23662585
2034,8571069,25070205,9934073,23709443
2035,8581623,25060367,9990786,23652996
2036,8571605,25070210,10000295,23642737
2037,8571742,25069976,10004837,23637838
2038,8571493,25070257,10005717,23637996
2039,8571823,25070119,9952310,23689952
2040,8571492,25070047,10007393,23636297
2041,8571948,25069921,10005355,23638004
2042,8571679,25070024,10005216,23638522
2043,8571885,25069823,9980465,23663083
2044,8571392,25070268,9997003,23646392
2045,8571491,25070049,9980017,23662937
2046,8571334,25070079,9985208,23657964
2047,8571494,25070085,9995110,23648113
2048,8571947,25070254,9968583,23675774
2049,8573706,25068591,10023535,23620260
2050,8571576,25069959,9981665,23661829
2051,8577010,25065995,10006441,23636492
2052,8571449,25070144,10003542,23639894
2053,8571583,25070270,10005791,23637629
2054,8571975,25070077,9965633,23677835
