run,baseline_elim,baseline_notelim,openssl_elim,openssl_notelim,add_elim,add_notelim,double_elim,double_notelim,mul_elim,mul_notelim,ad_elim,ad_notelim
0813,8571352,25070266,10774641,22868864,12267577,21374420,12819039,20822781,13384817,20256432,12259373,21382467
0814,8571598,25070203,10723925,22919327,12271854,21370268,12826362,20815342,13382344,20258414,12260483,21380982
0815,8582166,25059898,10725173,22917958,12272591,21369317,12822502,20819659,13382194,20259346,12266351,21375729
0816,8571649,25070112,10749871,22893763,12260611,21381457,12819291,20822686,13384188,20256809,12265625,21376601
0817,8571546,25070074,10728333,22915014,12265749,21376614,12817575,20823733,13383053,20258628,12267100,21375132
0818,8571462,25070093,10746992,22895944,12265064,21377071,12823199,20818273,13388621,20252450,12272317,21369893
0819,8571233,25070164,10718873,22924477,12268704,21373382,12821059,20820954,13388088,20253312,12269768,21372094
0820,8571484,25070134,10724492,22918482,12263278,21378657,12822193,20820347,13385938,20255614,12266282,21375732
0821,8580404,25061282,10718200,22925423,12267766,21374422,12812589,20829292,13377883,20263296,12257658,21384417
0822,8571813,25070041,10760284,22882870,12270311,21371286,12823962,20817995,13381791,20259533,12267069,21375200
0823,8571309,25070098,10754344,22889007,12267358,21374397,12821245,20820974,13384533,20256744,12267569,21374630
0824,8571665,25069935,10707569,22935786,12271486,21370378,12824161,20817743,13388469,20252973,12262975,21378916
0825,8571637,25070153,10723563,22920388,12269570,21371886,12822024,20820005,13385066,20256267,12257784,21384247
0826,8571489,25070126,10726683,22916921,12269320,21372683,12815927,20825945,13376647,20264459,12264720,21377213
0827,8571754,25070020,10724769,22918985,12269731,21372492,12812845,20828879,13379609,20261768,12266134,21375696
0828,8571163,25070188,10719651,22923628,12260377,21381384,12817784,20824154,13384694,20256818,12263453,21378620
0829,8571546,25070186,10771279,22872132,12267672,21374813,12816800,20825343,13383057,20258014,12272295,21369544
0830,8571830,25069954,10741830,22901719,12259553,21382197,12823051,20818611,13383779,20257548,12268994,21373165
0831,8571357,25070077,10767995,22875546,12268430,21373815,12828278,20813679,13385838,20255444,12268147,21373646
0832,8571732,25070195,10720250,22922709,12259532,21382635,12823322,20818569,13378534,20262891,12248047,21393723
0833,8571453,25070075,10738204,22905127,12259199,21382709,12815781,20825989,13384072,20257288,12267778,21374204
0834,8571582,25070060,10769972,22874040,12267327,21374780,12824309,20817577,13356635,20284717,12263082,21378543
0835,8571751,25070024,10744080,22899426,12269899,21372386,12819797,20822009,13389738,20251362,12261188,21380831
0836,8571429,25069969,10769134,22874389,12272541,21369477,12819137,20822840,13377492,20263797,12265576,21376743
0837,8571495,25070113,10727713,22916035,12256282,21385865,12824296,20817424,13382697,20258720,12260629,21380960
0838,8571475,25069923,10783909,22859360,12265119,21376804,12813970,20828144,13384243,20257128,12259743,21382370
0839,8571251,25070021,10710871,22932495,12267932,21374390,12815848,20825831,13377001,20263937,12271765,21370582
0840,8571513,25070048,10735729,22907691,12269087,21372913,12823611,20818289,13387593,20253612,12264249,21377705
0841,8571379,25070028,10775971,22867903,12267925,21374028,12823150,20819101,13388212,20253436,12262126,21380231
0842,8571518,25070011,10723990,22919669,12270463,21371486,12823014,20819002,13384705,20256849,12261981,21379875
0843,8571715,25069885,10774206,22869091,12252117,21389982,12817286,20824724,13387943,20253377,12264006,21377890
0844,8571472,25070140,10775354,22867865,12270718,21371175,12826654,20815005,13378385,20262728,12259673,21382455
0845,8571281,25070048,10731763,22911613,12250787,21390922,12822114,20820103,13364104,20277499,12272337,21369952
0846,8571525,25070066,10726202,22916786,12263449,21378972,12822957,20818795,13382108,20259482,12272919,21369144
0847,8571605,25070058,10727345,22916154,12261031,21381241,12832307,20809377,13382971,20258053,12265984,21376330
0848,8571407,25070155,10737616,22905584,12259514,21382825,12819778,20821919,13377541,20263730,12263341,21378460
0849,8571476,25070138,10725347,22917914,12267721,21374317,12817819,20824365,13385193,20256016,12267642,21374213
0850,8571518,25070170,10757249,22886054,12268509,21373397,12818546,20823322,13383650,20257572,12261034,21380875
0851,8571772,25070031,10712659,22930905,12259131,21382645,12823582,20817802,13385612,20255931,12262708,21379132
0852,8571393,25070209,10788198,22855219,12267347,21374768,12821593,20820308,13347716,20293704,12261257,21380589
0853,8571589,25070192,10760849,22882185,12251131,21391194,12822942,20818998,13383877,20258105,12265366,21376746
0854,8571859,25070006,10726803,22916615,12262291,21379747,12820748,20821320,13380622,20260745,12262535,21379412
0855,8571635,25070116,10746074,22897065,12262019,21379715,12824727,20817210,13385831,20255223,12257337,21384822
0856,8571711,25070190,10794304,22848945,12263982,21378320,12821937,20819900,13381975,20259341,12261394,21380792
0857,8571549,25070020,10717995,22925103,12260196,21381598,12821381,20820881,13384368,20257128,12275732,21366203
0858,8571510,25069975,10754464,22888648,12253035,21388889,12827245,20814911,13383795,20257247,12266230,21375773
0859,8571898,25069903,10680554,22963746,12267404,21374140,12830332,20811748,13353903,20287381,12272256,21370228
0860,8571407,25070059,10785476,22857503,12274392,21367393,12820524,20821048,13386844,20254532,12263986,21377840
0861,8571594,25070115,10767803,22875056,12269683,21371869,12805823,20836183,13378801,20262380,12260705,21381526
0862,8571603,25070041,10755934,22887564,12272304,21369483,12820377,20821777,13384886,20256783,12265467,21376273
0863,8571744,25070120,10714645,22928655,12270409,21371310,12821721,20819977,13385922,20255454,12270701,21371285
0864,8571540,25070123,10743990,22898747,12274608,21367130,12826367,20815566,13383702,20257537,12258233,21383669
0865,8571451,25070100,10734355,22908460,12268740,21373664,12823851,20817626,13375627,20265764,12266157,21375861
0866,8571587,25070092,10749082,22894091,12269426,21372607,12824352,20817488,13394755,20246655,12265417,21376626
0867,8571623,25069944,10768038,22874713,12262401,21379157,12825156,20816650,13377344,20264000,12260469,21381671
0868,8571456,25070117,10726097,22917526,12265455,21376682,12822145,20819946,13379750,20261679,12269101,21373274
0869,8571614,25070175,10713769,22929665,12260665,21381424,12815211,20826351,13378835,20262175,12272125,21369929
0870,8571670,25070123,10759379,22883906,12268838,21373223,12821306,20820694,13381754,20259564,12264063,21377861
0871,8571351,25070004,10734052,22909399,12267218,21374721,12840237,20802229,13385287,20256090,12271510,21370880
0872,8571379,25070187,10780939,22862711,12270025,21371926,12824004,20817629,13383439,20257992,12274685,21367486
0873,8571618,25069935,10733656,22909797,12259453,21382742,12826311,20815515,13387171,20253941,12273213,21369100
0874,8571630,25070105,10729856,22913496,12264561,21377702,12823002,20818900,13385595,20255705,12261450,21380992
0875,8584483,25057460,10720068,22923058,12257655,21384377,12828731,20813094,13379112,20262073,12267001,21374744
0876,8571718,25070084,10732178,22911218,12267646,21374464,12826812,20814768,13380001,20261063,12244502,21397788
0877,8571443,25070215,10750544,22892525,12266104,21376211,12826288,20815139,13360146,20281256,12261235,21380806
0878,8571409,25069930,10768436,22874963,12263375,21378662,12813320,20828462,13379811,20261243,12262188,21380066
0879,8571617,25070072,10724870,22918500,12265829,21376637,12819757,20822487,13390595,20250594,12268392,21373700
0880,8571519,25070199,10730745,22912536,12271201,21371242,12822512,20819635,13384444,20256843,12263653,21378320
0881,8571857,25070106,10794582,22848716,12268797,21373303,12822025,20820146,13390968,20250267,12261234,21380567
0882,8571670,25069900,10765539,22877727,12268835,21373502,12830554,20811182,13360297,20281114,12263838,21378220
0883,8571278,25070240,10737837,22905684,12268883,21372991,12819036,20823199,13375307,20266278,12261580,21380713
0884,8571577,25069990,10732865,22910543,12271890,21370024,12819827,20822571,13384758,20256130,12261224,21380417
0885,8571337,25070136,10781363,22862579,12263835,21378155,12824186,20817643,13380963,20260336,12256700,21385051
0886,8572005,25069828,10725791,22917918,12261290,21380886,12814885,20826986,13384915,20256442,12263638,21378465
0887,8571744,25070078,10718475,22924523,12268500,21373682,12829570,20812199,13384844,20256372,12266256,21376128
0888,8571650,25070080,10739212,22904576,12260888,21381097,12818875,20823235,13384858,20256718,12255894,21386047
0889,8571690,25070062,12575496,21064981,12265569,21376951,12826434,20815713,13385375,20255954,12266425,21375534
0890,8571596,25070134,10766316,22876922,12268139,21374068,12820803,20821024,13385203,20255775,12266898,21375462
0891,8571313,25070205,10793152,22849934,12268902,21373171,12826671,20815634,13367685,20273543,12262011,21379998
0892,8571530,25070099,10718352,22924945,12267099,21374915,12833094,20809142,13383204,20257952,12260908,21381165
0893,8571792,25070002,10715595,22927652,12254647,21387117,12808773,20833088,13383755,20257691,12271285,21370955
0894,8571549,25070174,10764453,22878558,12267897,21374037,12833811,20807949,13386522,20254704,12273490,21368813
0895,8571435,25069915,10771050,22872652,12271221,21370888,12828985,20812979,13381652,20259725,12268607,21373593
0896,8571665,25070119,10736379,22906910,12266353,21375757,12827393,20814576,13347263,20293883,12275556,21366564
0897,8571802,25070155,10733424,22909888,12269527,21372222,12822970,20818492,13383370,20257884,12265993,21375746
0898,8571559,25070049,10716364,22927361,12273166,21369235,12819990,20822165,13387706,20253783,12269240,21373013
0899,8571603,25070008,10759181,22883906,12274548,21367596,12819168,20822882,13328081,20313257,12270677,21371657
